CustID,Sex,BirthDate,College,HouseholdSize,Income,Spending2020,Spending2021,NumOfOrders,DaysSinceLast,Satisfaction,Channel
1530016,Female,12/16/1986,Yes,5,53000,287,241,3,101,Very Dissatisfied,SM
1531136,Male,5/9/1993,Yes,5,94000,1227,843,12,262,Neutral,TV
1532160,Male,5/22/1966,Yes,2,64000,523,719,9,122,Very Satisfied,TV
1532307,Male,9/16/1964,Yes,4,60000,516,582,13,129,Very Dissatisfied,SM
1532356,Female,7/15/1964,No,5,47000,555,845,7,97,Very Dissatisfied,Web
1532387,Male,8/27/1957,Yes,2,67000,631,452,9,150,Neutral,SM
1533017,Female,5/14/1985,Yes,3,84000,229,153,2,144,Very Satisfied,Web
1533561,Male,2/10/1981,Yes,5,76000,1474,1079,23,122,Very Satisfied,Referral
1533697,Female,10/8/1974,Yes,3,42000,300,247,3,238,Very Satisfied,Web
1533766,Male,9/16/1971,Yes,2,71000,925,708,4,171,Neutral,TV
1533791,Male,10/27/1999,Yes,1,97000,828,1028,17,110,Very Dissatisfied,Web
1533917,Female,3/3/1993,Yes,3,64000,768,915,15,19,Very Satisfied,Referral
1534502,Male,12/26/1989,Yes,2,114000,938,665,7,262,Very Dissatisfied,TV
1534928,Male,1/18/1959,Yes,5,96000,631,796,13,68,Neutral,Referral
1535063,Female,12/17/1982,Yes,3,42000,341,313,4,300,Very Dissatisfied,TV
1535406,Male,2/4/1984,No,5,55000,129,100,1,80,Very Dissatisfied,Web
1535449,Male,9/21/1958,No,2,56000,435,384,6,180,Very Dissatisfied,TV
1535927,Male,1/12/1979,Yes,1,66000,1283,879,10,35,Very Satisfied,Referral
1536475,Male,5/17/1958,Yes,2,73000,1276,1108,20,56,Neutral,Web
1536814,Male,7/25/1962,Yes,5,86000,478,401,3,80,Very Dissatisfied,Web
1537373,Female,1/20/1972,No,5,44000,615,748,15,295,Very Satisfied,Web
1537553,Female,7/7/1961,No,4,36000,153,141,2,360,Very Satisfied,TV
1538886,Male,9/15/1996,Yes,2,94000,590,524,7,177,Somewhat Satisfied,Referral
1539494,Male,11/17/1973,Yes,4,54000,451,307,6,35,Neutral,Web
1539808,Male,8/2/1954,Yes,5,82000,389,486,6,167,Neutral,Web
1539941,Male,6/22/1994,No,1,42000,697,1150,22,267,Very Satisfied,Referral
1539995,Female,10/12/1956,Yes,2,96000,631,802,17,354,Somewhat Satisfied,TV
1540076,Male,1/24/1978,Yes,5,60000,63,113,1,178,Very Satisfied,TV
1540183,Male,2/27/1991,Yes,1,91000,1018,800,10,6,Somewhat Satisfied,Web
1540217,Male,10/22/1969,Yes,1,76000,546,1037,26,271,Somewhat Satisfied,SM
1540539,Male,5/28/1960,Yes,5,100000,50,50,1,240,Somewhat Satisfied,Web
1540604,Female,4/22/1970,Yes,3,73000,428,539,5,12,Very Satisfied,Web
1541742,Male,3/15/1960,Yes,2,106000,775,536,12,140,Somewhat Dissatisfied,Referral
1541931,Male,1/4/1956,Yes,3,55000,561,587,11,302,Somewhat Satisfied,TV
1542099,Male,7/6/1984,Yes,2,86000,234,314,7,96,Somewhat Dissatisfied,SM
1542147,Male,3/27/1989,Yes,5,51000,398,573,8,218,Somewhat Satisfied,SM
1542352,Male,4/3/1978,Yes,4,60000,84,132,3,349,Neutral,SM
1542818,Female,12/10/1960,Yes,1,63000,969,814,14,58,Neutral,TV
