SCH_DEP_TIME,CARRIER,DEP_TIME,DEST,DISTANCE,FL_DATE,ORIGIN,WEATHER,DAY_WEEK,DAY_OF_MONTH,STATUS,LATE_MINS
1455,OH,1455,JFK,184,1/1/2004,BWI,0,4,1,ontime,0
1640,DH,1640,JFK,213,1/1/2004,DCA,0,4,1,ontime,0
1245,DH,1245,LGA,229,1/1/2004,IAD,0,4,1,ontime,0
1715,DH,1709,LGA,229,1/1/2004,IAD,0,4,1,ontime,0
1039,DH,1035,LGA,229,1/1/2004,IAD,0,4,1,ontime,0
840,DH,839,JFK,228,1/1/2004,IAD,0,4,1,ontime,0
1240,DH,1243,JFK,228,1/1/2004,IAD,0,4,1,ontime,3
1645,DH,1644,JFK,228,1/1/2004,IAD,0,4,1,ontime,0
1715,DH,1710,JFK,228,1/1/2004,IAD,0,4,1,ontime,0
2120,DH,2129,JFK,228,1/1/2004,IAD,0,4,1,ontime,9
2120,DH,2114,LGA,229,1/1/2004,IAD,0,4,1,ontime,0
1455,DL,1458,JFK,213,1/1/2004,DCA,0,4,1,ontime,3
930,DL,932,LGA,214,1/1/2004,DCA,0,4,1,ontime,2
1230,DL,1228,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1430,DL,1429,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1730,DL,1728,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
2030,DL,2029,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1530,MQ,1525,JFK,213,1/1/2004,DCA,0,4,1,ontime,0
600,MQ,556,JFK,213,1/1/2004,DCA,0,4,1,ontime,0
1830,MQ,1822,JFK,213,1/1/2004,DCA,0,4,1,ontime,0
900,MQ,853,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1300,MQ,1254,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1400,MQ,1356,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1500,MQ,1452,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1900,MQ,1853,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
850,UA,841,LGA,229,1/1/2004,IAD,0,4,1,ontime,0
900,US,858,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1100,US,1056,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1300,US,1253,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1500,US,1458,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1700,US,1655,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
2100,US,2055,LGA,214,1/1/2004,DCA,0,4,1,ontime,0
1455,RU,1452,EWR,169,1/1/2004,BWI,0,4,1,ontime,0
1720,RU,1710,EWR,169,1/1/2004,BWI,0,4,1,ontime,0
1030,RU,1030,EWR,169,1/1/2004,BWI,0,4,1,ontime,0
700,RU,656,EWR,169,1/1/2004,BWI,0,4,1,ontime,0
1300,CO,1256,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
1730,CO,1726,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
840,DH,840,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1710,DH,1704,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1245,DH,1245,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
2120,DH,2118,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1700,RU,1651,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1900,RU,1850,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1525,RU,1521,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
1900,RU,1855,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
1400,RU,1357,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
1515,RU,1508,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1300,RU,1255,EWR,213,1/1/2004,IAD,0,4,1,ontime,0
1630,RU,1625,EWR,199,1/1/2004,DCA,0,4,1,ontime,0
1455,OH,1455,JFK,184,1/2/2004,BWI,0,5,2,ontime,0
1640,DH,1641,JFK,213,1/2/2004,DCA,0,5,2,ontime,1
1245,DH,1249,LGA,229,1/2/2004,IAD,0,5,2,ontime,4
1455,DH,1531,LGA,229,1/2/2004,IAD,0,5,2,delayed,76
1715,DH,1712,LGA,229,1/2/2004,IAD,0,5,2,ontime,0
640,DH,645,LGA,229,1/2/2004,IAD,0,5,2,ontime,5
1039,DH,1236,LGA,229,1/2/2004,IAD,0,5,2,delayed,197
840,DH,859,JFK,228,1/2/2004,IAD,0,5,2,ontime,19
1240,DH,1232,JFK,228,1/2/2004,IAD,0,5,2,ontime,0
1455,DH,1455,JFK,228,1/2/2004,IAD,0,5,2,ontime,0
1645,DH,1645,JFK,228,1/2/2004,IAD,0,5,2,ontime,0
1715,DH,1716,JFK,228,1/2/2004,IAD,0,5,2,ontime,1
2120,DH,2305,JFK,228,1/2/2004,IAD,0,5,2,delayed,185
1610,DH,1605,JFK,228,1/2/2004,IAD,0,5,2,ontime,0
2120,DH,2118,LGA,229,1/2/2004,IAD,0,5,2,ontime,0
1455,DL,1458,JFK,213,1/2/2004,DCA,0,5,2,ontime,3
930,DL,930,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1230,DL,1230,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1430,DL,1427,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1730,DL,1730,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
2030,DL,2028,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1530,MQ,1522,JFK,213,1/2/2004,DCA,0,5,2,ontime,0
600,MQ,552,JFK,213,1/2/2004,DCA,0,5,2,ontime,0
1830,MQ,1847,JFK,213,1/2/2004,DCA,0,5,2,ontime,17
900,MQ,852,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1100,MQ,1053,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1300,MQ,1258,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1400,MQ,1402,LGA,214,1/2/2004,DCA,0,5,2,ontime,2
1500,MQ,1456,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
850,UA,850,LGA,229,1/2/2004,IAD,0,5,2,ontime,0
700,US,657,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
900,US,857,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1100,US,1058,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1300,US,1258,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1500,US,1458,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1700,US,1655,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1900,US,1855,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
2100,US,2056,LGA,214,1/2/2004,DCA,0,5,2,ontime,0
1720,RU,1715,EWR,169,1/2/2004,BWI,0,5,2,ontime,0
1030,RU,1030,EWR,169,1/2/2004,BWI,0,5,2,ontime,0
700,RU,656,EWR,169,1/2/2004,BWI,0,5,2,ontime,0
1455,RU,1456,EWR,169,1/2/2004,BWI,0,5,2,ontime,1
1730,CO,1727,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
1300,CO,1301,EWR,199,1/2/2004,DCA,0,5,2,ontime,1
759,CO,754,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
840,DH,837,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
1245,DH,1350,EWR,213,1/2/2004,IAD,0,5,2,delayed,105
1430,DH,1512,EWR,213,1/2/2004,IAD,0,5,2,delayed,82
630,DH,629,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
1630,RU,1625,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
700,RU,655,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
900,RU,858,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
700,RU,657,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
1700,RU,1650,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
1900,RU,1856,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
1300,RU,1253,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
900,RU,854,EWR,213,1/2/2004,IAD,0,5,2,ontime,0
1900,RU,1858,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
2100,RU,2050,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
1400,RU,1358,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
1515,RU,1510,EWR,213,1/2/2004,IAD,0,5,2,delayed,0
1525,RU,1519,EWR,199,1/2/2004,DCA,0,5,2,ontime,0
1245,DH,1243,LGA,229,1/3/2004,IAD,0,6,3,ontime,0
1715,DH,1738,LGA,229,1/3/2004,IAD,0,6,3,ontime,23
640,DH,640,LGA,229,1/3/2004,IAD,0,6,3,ontime,0
1039,DH,1030,LGA,229,1/3/2004,IAD,0,6,3,ontime,0
840,DH,855,JFK,228,1/3/2004,IAD,0,6,3,ontime,15
1240,DH,1237,JFK,228,1/3/2004,IAD,0,6,3,ontime,0
1455,DH,1455,JFK,228,1/3/2004,IAD,0,6,3,ontime,0
1645,DH,1654,JFK,228,1/3/2004,IAD,0,6,3,ontime,9
1715,DH,1741,JFK,228,1/3/2004,IAD,0,6,3,ontime,26
2120,DH,2213,JFK,228,1/3/2004,IAD,0,6,3,delayed,93
1610,DH,1604,JFK,228,1/3/2004,IAD,0,6,3,ontime,0
2120,DH,2138,LGA,229,1/3/2004,IAD,0,6,3,ontime,18
1455,DL,1505,JFK,213,1/3/2004,DCA,0,6,3,delayed,50
830,DL,828,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1030,DL,1030,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1230,DL,1230,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1430,DL,1428,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1630,DL,1629,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1830,DL,1829,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
2030,DL,2024,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1530,MQ,1600,JFK,213,1/3/2004,DCA,0,6,3,delayed,70
600,MQ,555,JFK,213,1/3/2004,DCA,0,6,3,ontime,0
1830,MQ,1829,JFK,213,1/3/2004,DCA,0,6,3,ontime,0
900,MQ,855,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
1300,MQ,1254,LGA,214,1/3/2004,DCA,0,6,3,ontime,0
