Customer,State,Coverage,Education,EmploymentStatus,Gender,Income,Location Code,Marital Status,Monthly Premium Auto,Months Since Last Claim,Months Since Policy Inception,Number of Open Complaints,Number of Policies,Policy,Sales Channel,Total Claim Amount,Vehicle Class,Vehicle Size
QZ44356,Arizona,Extended,Bachelor,Unemployed,F,0,Suburban,Single,94,13,42,0,8,Personal L3,Agent,1131.464935,Four-Door Car,Medsize
AI49188,Nevada,Premium,Bachelor,Employed,F,48767,Suburban,Married,108,18,38,0,2,Personal L3,Agent,566.472247,Two-Door Car,Medsize
HB64268,Washington,Basic,Bachelor,Employed,M,43836,Rural,Single,73,12,44,0,1,Personal L1,Agent,138.130879,Four-Door Car,Medsize
OC83172,Oregon,Basic,Bachelor,Employed,F,62902,Rural,Married,69,14,94,0,2,Personal L3,Web,159.383042,Two-Door Car,Medsize
SX51350,California,Basic,College,Unemployed,M,0,Suburban,Single,67,23,5,0,3,Personal L3,Agent,482.4,Four-Door Car,Small
VQ65197,California,Basic,College,Unemployed,F,0,Suburban,Married,110,27,87,0,3,Personal L3,Agent,528,SUV,Medsize
FV94802,Nevada,Basic,High School or Below,Medical Leave,M,25049,Suburban,Married,67,14,7,0,1,Personal L3,Call Center,454.245098,Two-Door Car,Medsize
OE15005,California,Basic,College,Medical Leave,M,28855,Suburban,Married,101,12,59,0,1,Personal L2,Call Center,647.442031,SUV,Medsize
WC83389,Oregon,Basic,College,Employed,M,51148,Urban,Married,72,9,1,0,7,Personal L2,Branch,308.981664,Four-Door Car,Medsize
ZK25313,Oregon,Basic,High School or Below,Employed,M,57749,Suburban,Single,74,31,21,0,1,Personal L2,Branch,355.2,Two-Door Car,Medsize
SV62436,Washington,Extended,Bachelor,Disabled,F,13789,Suburban,Divorced,79,8,49,0,1,Personal L3,Call Center,379.2,Four-Door Car,Medsize
YH23384,Arizona,Basic,Bachelor,Medical Leave,M,14072,Suburban,Divorced,71,13,3,0,2,Personal L3,Agent,511.2,Four-Door Car,Medsize
FS42516,Oregon,Basic,College,Employed,M,97541,Suburban,Married,72,22,1,0,3,Personal L3,Call Center,389.185006,Four-Door Car,Large
US89481,California,Premium,Bachelor,Unemployed,F,0,Suburban,Single,111,15,47,0,1,Personal L3,Agent,799.2,Four-Door Car,Small
GE62437,Arizona,Premium,College,Employed,F,86584,Suburban,Single,111,33,54,2,2,Personal L3,Call Center,532.8,Four-Door Car,Large
EJ77678,Oregon,Extended,Master,Employed,F,75690,Suburban,Married,80,17,44,1,1,Personal L3,Branch,384,Four-Door Car,Small
SV85652,Arizona,Basic,College,Employed,M,23158,Suburban,Married,63,4,6,1,1,Personal L2,Call Center,322.294043,Four-Door Car,Small
PF41800,California,Basic,Bachelor,Unemployed,M,0,Urban,Married,65,19,56,0,3,Personal L3,Call Center,308.15089,Four-Door Car,Medsize
YV55495,Arizona,Basic,High School or Below,Employed,F,68987,Urban,Married,71,11,40,0,6,Personal L1,Branch,204.475147,Four-Door Car,Medsize
KY38074,California,Premium,Bachelor,Employed,M,42305,Suburban,Married,117,10,62,0,2,Personal L3,Agent,561.6,Four-Door Car,Small
DM79012,Oregon,Extended,Master,Employed,F,65706,Suburban,Married,91,19,86,0,8,Personal L3,Web,436.8,Four-Door Car,Small
CM61827,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,90,7,79,0,1,Personal L2,Agent,648,Two-Door Car,Small
WC35801,Arizona,Basic,High School or Below,Employed,M,53243,Rural,Divorced,66,4,15,2,1,Personal L3,Call Center,157.397849,Four-Door Car,Medsize
IL19217,California,Extended,Bachelor,Employed,F,60021,Suburban,Married,99,12,28,0,1,Personal L2,Agent,882.871945,Four-Door Car,Small
SR38658,Arizona,Basic,High School or Below,Employed,M,43244,Suburban,Married,103,15,16,0,2,Personal L2,Agent,494.4,Sports Car,Medsize
HG65722,Oregon,Premium,Doctor,Disabled,F,10105,Rural,Married,172,5,4,3,3,Personal L2,Branch,0.517753,SUV,Medsize
BU27331,Arizona,Basic,Bachelor,Unemployed,M,0,Suburban,Single,73,7,57,3,5,Personal L3,Call Center,579.165954,Four-Door Car,Medsize
XM45289,Oregon,Basic,High School or Below,Employed,F,23218,Suburban,Single,71,7,10,0,4,Personal L2,Agent,447.79344,Two-Door Car,Medsize
SH90947,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,62,11,56,0,1,Personal L2,Branch,313.023175,Four-Door Car,Medsize
WE95729,Oregon,Basic,College,Employed,M,24804,Suburban,Married,104,1,28,0,2,Personal L2,Agent,593.830288,SUV,Small
XR95069,Washington,Basic,Bachelor,Employed,M,29834,Suburban,Single,64,19,44,0,3,Personal L3,Agent,307.2,Four-Door Car,Medsize
FR46645,California,Premium,Bachelor,Disabled,M,16701,Suburban,Married,113,20,26,0,1,Personal L2,Branch,831.625979,Four-Door Car,Small
FS37417,Arizona,Basic,High School or Below,Unemployed,F,0,Suburban,Married,101,29,12,0,1,Personal L2,Call Center,484.8,SUV,Small
ML29312,Oregon,Extended,High School or Below,Disabled,F,16969,Suburban,Divorced,124,34,47,2,1,Personal L3,Call Center,704.768111,SUV,Medsize
UB61619,Oregon,Premium,Master,Disabled,F,11621,Suburban,Divorced,108,4,98,0,1,Personal L1,Agent,518.4,Four-Door Car,Medsize
CD86811,Arizona,Basic,Bachelor,Retired,M,17622,Suburban,Divorced,65,1,36,1,3,Personal L1,Agent,312,Four-Door Car,Medsize
RU83859,California,Premium,Bachelor,Medical Leave,F,11489,Suburban,Married,105,4,50,0,6,Personal L3,Call Center,504,Two-Door Car,Small
FG63582,Oregon,Extended,Bachelor,Unemployed,M,0,Suburban,Single,94,20,53,0,1,Personal L3,Agent,863.327324,Two-Door Car,Small
NN71951,California,Basic,High School or Below,Employed,F,66525,Rural,Married,100,0,86,0,2,Personal L3,Agent,104.331355,SUV,Medsize
WB37082,Arizona,Basic,Bachelor,Unemployed,F,0,Suburban,Single,63,21,28,0,2,Personal L3,Branch,676.391482,Four-Door Car,Large
SM52139,Washington,Basic,College,Employed,M,33663,Suburban,Married,73,29,71,0,1,Personal L3,Web,350.4,Four-Door Car,Medsize
DP45816,Arizona,Extended,High School or Below,Employed,F,61486,Urban,Married,97,5,65,0,2,Personal L3,Branch,465.258644,Two-Door Car,Small
GW33762,Oregon,Extended,Bachelor,Unemployed,F,0,Suburban,Divorced,95,13,20,0,5,Personal L3,Call Center,456,Two-Door Car,Large
RZ33670,California,Premium,College,Disabled,F,29879,Suburban,Married,102,17,0,0,2,Personal L3,Web,500.254235,Four-Door Car,Medsize
PY70169,Oregon,Basic,High School or Below,Employed,M,93011,Rural,Divorced,113,17,12,0,2,Personal L3,Agent,281.451042,SUV,Medsize
MO91628,Oregon,Basic,Master,Employed,M,65186,Rural,Married,65,29,27,0,1,Personal L2,Web,5.434505,Two-Door Car,Large
HW87852,Oregon,Basic,Master,Medical Leave,M,26840,Suburban,Married,64,1,47,2,1,Personal L1,Agent,307.2,Four-Door Car,Medsize
HB20453,Oregon,Basic,Bachelor,Unemployed,M,0,Suburban,Single,104,30,3,1,5,Personal L3,Agent,982.399613,Sports Car,Medsize
BN87372,Oregon,Basic,Bachelor,Employed,M,75644,Suburban,Divorced,65,5,68,3,9,Personal L3,Branch,467.803638,Two-Door Car,Medsize
YX23800,Oregon,Basic,Bachelor,Employed,M,38984,Suburban,Married,73,27,38,0,2,Personal L3,Branch,350.4,Four-Door Car,Small
DZ87709,Oregon,Basic,High School or Below,Employed,F,71811,Rural,Single,71,17,48,0,6,Personal L1,Call Center,29.03416,Four-Door Car,Medsize
XW13033,Nevada,Basic,College,Employed,M,20961,Suburban,Married,67,20,33,0,2,Personal L1,Agent,321.6,Four-Door Car,Medsize
LN31673,Washington,Extended,College,Employed,M,38923,Rural,Married,99,6,83,2,2,Personal L3,Agent,115.728852,Four-Door Car,Medsize
OM82309,California,Basic,Bachelor,Employed,M,61321,Rural,Single,186,0,30,1,2,Personal L3,Branch,427.63121,Luxury Car,Small
ZU35962,California,Extended,College,Unemployed,F,0,Rural,Single,77,20,26,0,2,Personal L3,Branch,25.807685,Two-Door Car,Large
VH85817,California,Basic,High School or Below,Employed,M,51066,Suburban,Single,74,23,0,0,8,Personal L3,Call Center,787.993313,Four-Door Car,Medsize
DT85712,California,Basic,Doctor,Employed,M,34378,Suburban,Married,102,12,54,0,1,Personal L1,Branch,489.6,SUV,Medsize
YJ88573,Nevada,Basic,Master,Employed,M,43072,Suburban,Married,63,35,15,0,1,Personal L3,Call Center,302.4,Four-Door Car,Large
SQ19467,Oregon,Extended,College,Disabled,F,25222,Suburban,Single,90,28,69,0,3,Personal L3,Agent,475.623251,Four-Door Car,Small
HF88410,Washington,Basic,High School or Below,Employed,M,36765,Suburban,Married,66,15,32,1,2,Personal L2,Call Center,320.849072,Four-Door Car,Medsize
ET79815,California,Extended,College,Retired,M,23091,Suburban,Married,96,28,90,5,5,Personal L1,Agent,460.8,Four-Door Car,Medsize
CJ15590,Oregon,Basic,Bachelor,Employed,F,32720,Suburban,Divorced,67,13,12,0,1,Personal L2,Branch,321.6,Four-Door Car,Medsize
OI48267,California,Extended,College,Employed,M,20396,Suburban,Married,76,15,60,1,4,Personal L3,Branch,364.8,Four-Door Car,Medsize
JY67916,Oregon,Premium,College,Medical Leave,M,21513,Suburban,Married,119,21,81,1,2,Personal L3,Branch,679.827592,Two-Door Car,Small
ON44465,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,77,8,10,1,9,Personal L2,Agent,863.3947,Four-Door Car,Medsize
TV87155,Oregon,Basic,Bachelor,Employed,F,69738,Suburban,Married,74,2,26,1,2,Personal L3,Branch,492.127532,Four-Door Car,Large
KH48895,Arizona,Basic,Master,Medical Leave,F,17780,Rural,Married,109,12,18,0,9,Personal L3,Branch,132.588288,SUV,Medsize
NZ30757,California,Basic,Bachelor,Medical Leave,M,18107,Suburban,Married,62,29,11,0,8,Personal L2,Agent,297.6,Four-Door Car,Medsize
RI22468,Arizona,Basic,Bachelor,Employed,F,57740,Urban,Married,74,30,87,3,9,Personal L1,Web,269.905129,Four-Door Car,Medsize
FZ30935,Oregon,Extended,College,Employed,M,32627,Suburban,Married,76,11,60,0,7,Personal L2,Agent,380.036697,Two-Door Car,Small
UG93476,California,Basic,College,Unemployed,F,0,Suburban,Married,107,3,65,0,3,Personal L3,Agent,513.6,SUV,Medsize
AB96670,California,Basic,College,Unemployed,M,0,Suburban,Single,70,24,10,0,1,Personal L1,Branch,425.266308,Four-Door Car,Medsize
EV68375,California,Premium,College,Employed,M,60475,Suburban,Married,107,9,18,0,1,Personal L3,Branch,513.6,Four-Door Car,Medsize
UN51653,California,Extended,High School or Below,Unemployed,F,0,Suburban,Single,130,28,88,0,4,Personal L3,Web,936,SUV,Medsize
TO96662,Oregon,Extended,Bachelor,Employed,F,41837,Rural,Married,88,29,93,0,9,Personal L3,Call Center,142.062768,Four-Door Car,Small
MR52087,California,Basic,Bachelor,Employed,F,32303,Rural,Married,65,13,34,0,2,Personal L1,Branch,45.152521,Four-Door Car,Medsize
DE75225,Oregon,Basic,High School or Below,Unemployed,M,0,Suburban,Married,117,5,89,1,3,Personal L1,Agent,561.6,SUV,Medsize
EP80820,California,Basic,Bachelor,Employed,F,40531,Rural,Married,74,17,32,0,9,Personal L3,Agent,30.567357,Two-Door Car,Medsize
WI57118,California,Extended,College,Employed,M,56398,Suburban,Married,85,4,18,0,7,Personal L3,Agent,408,Four-Door Car,Small
MQ14219,Arizona,Basic,College,Employed,M,27804,Suburban,Married,109,19,54,0,7,Personal L3,Branch,784.8,SUV,Medsize
KN20603,Oregon,Basic,Bachelor,Employed,M,45506,Suburban,Single,66,16,32,2,2,Personal L3,Agent,316.8,Four-Door Car,Medsize
CR48975,Washington,Basic,High School or Below,Employed,M,65196,Suburban,Married,67,0,54,0,2,Personal L2,Branch,396.082036,Four-Door Car,Medsize
VF72557,Oregon,Extended,High School or Below,Retired,M,20993,Suburban,Divorced,133,35,90,0,1,Personal L3,Agent,638.4,SUV,Medsize
OX28638,Arizona,Extended,High School or Below,Employed,M,37839,Suburban,Married,86,35,77,0,9,Personal L3,Branch,465.633954,Two-Door Car,Medsize
SK55033,California,Basic,Bachelor,Employed,F,92711,Suburban,Single,62,24,10,0,1,Personal L2,Agent,368.400146,Two-Door Car,Medsize
YT36855,Washington,Extended,College,Unemployed,M,0,Suburban,Married,83,26,89,0,1,Personal L2,Web,582.679087,Two-Door Car,Medsize
CW82151,California,Basic,Bachelor,Employed,M,46833,Rural,Married,112,6,3,0,9,Personal L3,Call Center,64.109663,Sports Car,Medsize
