VID,make,model,year,cityMPG,highwayMPG,cylinders,displ,co2TailpipeGpm,drive,fuelType,transmission,VClass
1,Alfa Romeo,Spider Veloce 2000,1985,19,25,4,2,423.1904762,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
2,Bertone,X1/9,1985,20,26,4,1.5,403.9545455,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
3,Chevrolet,Corvette,1985,15,21,8,5.7,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
4,Chevrolet,Corvette,1985,15,20,8,5.7,522.7647059,Rear-Wheel Drive,Regular,Manual 4-spd,Two Seaters
5,Nissan,300ZX,1985,15,18,6,3,555.4375,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
6,Nissan,300ZX,1985,15,20,6,3,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
7,Nissan,300ZX,1985,15,20,6,3,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
8,Nissan,300ZX,1985,17,23,6,3,467.7368421,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
9,Nissan,300ZX,1985,15,22,6,3,493.7222222,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
10,Ferrari,Testarossa,1985,9,14,12,4.9,807.9090909,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
11,Ferrari,308,1985,9,15,8,2.9,807.9090909,,Regular,Manual 5-spd,Two Seaters
12,Ford,EXP,1985,22,28,4,1.6,370.2916667,Front-Wheel Drive,Regular,Automatic 3-spd,Two Seaters
13,Ford,EXP,1985,22,32,4,1.6,341.8076923,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
14,Ford,EXP,1985,20,31,4,1.6,370.2916667,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
15,Honda,Civic CRX,1985,24,29,4,1.5,341.8076923,Front-Wheel Drive,Regular,Automatic 3-spd,Two Seaters
16,Honda,Civic CRX,1985,27,34,4,1.5,296.2333333,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
17,Honda,Civic CRX,1985,27,33,4,1.5,306.4482759,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
18,Honda,Civic CRX HF,1985,40,48,4,1.5,206.6744186,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
19,Mercedes-Benz,500SL,1985,,15,8,5,634.7857143,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
20,Lotus,Esprit Turbo,1985,11,18,4,2.2,634.7857143,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
21,Mazda,RX-7,1985,15,20,2,1.1,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
22,Mazda,RX-7,1985,15,21,2,1.1,522.7647059,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
23,Mazda,RX-7,1985,15,22,2,1.3,522.7647059,Rear-Wheel Drive,Regular,Manual 5-spd,2 Seaters
24,Mercedes-Benz,380SL,1985,14,17,8,3.8,592.4666667,Rear-Wheel Drive,Regular,Automatic 4-spd,Two Seaters
25,Pininfarina,Spider,1985,18,21,4,2,467.7368421,Rear-Wheel Drive,Regular,Automatic 3-spd,Two Seaters
26,Pininfarina,Spider,1985,20,26,4,2,403.9545455,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
27,Pontiac,Fiero,1985,22,29,4,2.5,355.48,Rear-Wheel Drive,Regular,Automatic 3-spd,Two Seaters
28,Pontiac,Fiero,1985,21,33,4,2.5,355.48,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
29,Pontiac,Fiero,1985,16,22,6,2.8,493.7222222,Rear-Wheel Drive,Regular,Automatic 3-spd,Two Seaters
30,Pontiac,Fiero,1985,17,24,6,2.8,467.7368421,Rear-Wheel Drive,Regular,Manual 4-spd,Two Seaters
31,Subaru,XT-DL,1985,23,29,4,1.8,355.48,Front-Wheel Drive,Regular,Manual 5-spd,Two Seaters
32,Toyota,MR2,1985,23,29,4,1.6,341.8076923,Rear-Wheel Drive,Regular,Manual 5-spd,Two Seaters
33,TVR Engineering Ltd,TVR 280i Convertible,1985,15,22,6,2.8,493.7222222,Rear-Wheel Drive,Premium,Manual 4-spd,2 Seaters
34,TVR Engineering Ltd,TVR 280i Coupe,1985,15,22,6,2.8,493.7222222,Rear-Wheel Drive,Premium,Manual 4-spd,Two Seaters
35,Alfa Romeo,GT V6 2.5,1985,17,24,6,2.5,467.7368421,Rear-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
36,Chevrolet,Sprint,1985,34,39,3,1,246.8611111,Front-Wheel Drive,Regular,Automatic 3-spd,Minicompact Cars
37,Chevrolet,Sprint,1985,39,47,3,1,211.5952381,Front-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
38,Ferrari,Mondial,1985,9,15,8,2.9,807.9090909,Rear-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
39,Maserati,Biturbo,1985,11,13,6,2.5,740.5833333,Rear-Wheel Drive,Regular,Automatic 3-spd,Minicompact Cars
40,Maserati,Biturbo,1985,12,17,6,2.5,634.7857143,Rear-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
41,Pontiac,Firefly,1985,34,39,3,1,246.8611111,Front-Wheel Drive,Regular,Automatic 3-spd,Minicompact Cars
42,Pontiac,Firefly,1985,39,47,3,1,211.5952381,Front-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
43,Suzuki,SA310,1985,34,39,3,1,246.8611111,Front-Wheel Drive,Regular,Automatic 3-spd,Minicompact Cars
44,Suzuki,SA310,1985,39,47,3,1,211.5952381,Front-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
45,Volkswagen,Cabriolet,1985,20,23,4,1.8,423.1904762,Front-Wheel Drive,Regular,Automatic 3-spd,Minicompact Cars
46,Volkswagen,Cabriolet,1985,21,26,4,1.8,386.3913043,Front-Wheel Drive,Regular,Manual 5-spd,Minicompact Cars
47,Aston Martin,Lagonda,1985,7,9,8,5.3,1110.875,Rear-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
48,Aston Martin,Saloon/Vantage/Volante,1985,7,9,8,5.3,1110.875,Rear-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
49,Aston Martin,Saloon/Vantage/Volante,1985,7,10,8,5.3,1110.875,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
50,Audi,Coupe GT,1985,16,21,5,2.2,493.7222222,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
51,Audi,Coupe GT,1985,17,23,5,2.2,467.7368421,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
52,Audi,Quattro,1985,15,20,5,2.1,522.7647059,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
53,Audi,4000s,1985,21,24,4,1.8,386.3913043,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
54,Audi,4000s,1985,21,27,4,1.8,370.2916667,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
55,Audi,4000s quattro,1985,16,20,5,2.2,493.7222222,4-Wheel or All-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
56,BMW,3 Series,1985,19,24,4,1.8,423.1904762,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
57,BMW,3 Series,1985,21,26,4,1.8,386.3913043,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
58,BMW,3 Series,1985,18,25,6,2.7,423.1904762,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
59,BMW,3 Series,1985,19,26,6,2.7,423.1904762,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
60,BMW,6 Series,1985,15,20,6,3.4,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
61,BMW,6 Series,1985,14,20,6,3.4,522.7647059,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
62,Chevrolet,Camaro,1985,19,30,4,2.5,386.3913043,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
63,Chevrolet,Camaro,1985,16,24,6,2.8,467.7368421,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
64,Chevrolet,Camaro,1985,16,25,6,2.8,467.7368421,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
65,Chevrolet,Camaro,1985,14,20,8,5,522.7647059,Rear-Wheel Drive,Automatic 4-spd,Automatic 4-spd,Subcompact Cars
66,Chevrolet,Camaro,1985,14,22,8,5,522.7647059,Rear-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
67,Chevrolet,Camaro,1985,15,20,8,5,522.7647059,Rear-Wheel Drive,Regular,Automatic 4-spd,Subcompact Cars
68,Chevrolet,Cavalier Convertible,1985,22,,4,2,370.2916667,Front-Wheel Drive,Regular,Automatic 3-spd,Subcompact Cars
69,Chevrolet,Cavalier Convertible,1985,23,32,4,2,341.8076923,Front-Wheel Drive,Regular,Manual 4-spd,Subcompact Cars
70,Chevrolet,Cavalier Convertible,1985,21,30,4,2,370.2916667,Front-Wheel Drive,Regular,Manual 5-spd,Subcompact Cars
